year,oil_price_stat,output_gap,cpi_stat,taux_directeur,taux_changes_stat,regime,prob_regime0,prob_regime1,prob_regime2
1999.0,0.34587358454098904,-60.863414765233756,0.013199603551952599,5.5,-0.039349999999999774,0,0.9589210268133898,0.04065379831216707,0.0004251748744427495
2000.0,0.46103634655307646,-129.13839146028246,0.007933014091179302,6.0,-0.10297500000000026,0,0.911151629318651,0.08762137393429853,0.0012269967470501923
2001.0,-0.1533640595734247,-54.14317000880696,0.012259662078313305,4.0,-0.07527499999999976,0,0.963914227728569,0.03563855827527549,0.0004472139961549817
2002.0,0.02342529158161133,-53.20530039681726,0.012510545177819132,4.0,0.062474999999999836,0,0.9534835302772453,0.04623237481339361,0.00028409490936068087
2003.0,0.1416352693953029,-184.78898577584363,0.013524062655282165,3.75,0.13290000000000002,0,0.5757238257224724,0.4242761742775271,8.694851277323115e-22
2004.0,0.2830947325667523,813.5195836929772,0.013345777839692374,4.75,0.19687500000000013,1,9.213224103013849e-26,0.9638638221917606,0.036136177808238856
2005.0,0.3540519420670609,59.25007482800939,0.020360743452488173,4.5,-0.012275000000000036,0,0.9120945071677156,0.08790547296871543,1.9863568361277247e-08
2006.0,0.17801357046546862,29.780233956730527,0.02302011656157621,5.0,0.023399999999999865,0,0.9627526440914792,0.036755306506920354,0.0004920494015997687
2007.0,0.1054542720700935,20.045696384662754,0.022962742539036185,5.5,0.1589250000000002,0,0.9662529686858957,0.033272738434064725,0.00047429288003896425
2011.0,0.33612939634050676,-91.84307902992244,0.04366939197761521,0.5,0.057925000000000004,0,0.9488208203992513,0.050521828074859,0.0006573515258892161
2012.0,0.00371518937366222,-84.13437343343959,0.027889857597956258,0.5,-0.018199999999999772,0,0.9203488862605566,0.07955990257006057,9.121116938237029e-05
2013.0,-0.027335327847831437,-258.1551960590523,0.025324596210854367,0.5,-0.020925000000000304,1,0.1425619915690564,0.8463312273811342,0.01110678104980908
2014.0,-0.09359542724096315,79.77097798338006,0.014504611622187191,0.5,0.08387500000000014,0,0.8814960673953236,0.11837312609573378,0.0001308065089422718
2015.0,-0.6358989296469488,112.4345809766035,0.0004009133503162232,0.5,-0.11950000000000016,0,0.8740791189982373,0.12433150143927382,0.0015893795624884347
2016.0,-0.1786253955197905,79.90949861643352,0.006574998350331818,0.25,-0.1735749999999998,0,0.9309633533092275,0.0681525972853179,0.0008840494054541042
2017.0,-0.2706366266426916,-50.36247309240268,0.0033744990708477474,0.25,-0.00495000000000001,0,0.9669036368037027,0.03262802185881049,0.0004683413374864355
2018.0,0.22845397863988826,-64.43006342259099,0.02638159813643437,0.5,-0.06000000000000005,0,0.9999989417989841,1.0582010154142e-06,1.1293730264960574e-22
2019.0,0.244014442472424,8589.403459121346,0.024763169876556468,0.75,0.040000000000000036,2,0.0,1.442572898608331e-52,0.9999999999999998
2020.0,-0.06014683478084404,69.43440667521155,0.017716080899285558,0.75,-0.06000000000000005,0,0.9999999999999999,1.5151168286430822e-20,1.8037334533376889e-22
2023.0,0.4527576157809241,66.25965290503298,0.08716017469713488,3.5,-0.13000000000000012,0,0.949135467395149,0.05005057387095923,0.0008139587338916955
2024.0,-0.2018726159357076,21.140060514069674,0.07030134347661843,5.25,0.0,0,0.9620593228510984,0.03755902762878659,0.0003816495201150365
